event,id,nanoseconds
write,104,46290
write,98,46622
write,105,46731
write,103,49261
open,100,53437
open,105,53499
open,103,53794
open,102,54804
open,101,54994
open,97,55176
open,99,55986
open,98,56031
open,104,56371
close,103,55999
close,99,58818
close,101,58879
close,97,59347
close,100,59458
close,98,59497
close,105,59541
close,96,59580
close,104,62800
close,102,62850
read,111,22793
read,110,23060
read,112,23282
read,107,23500
read,106,24004
read,109,24018
read,108,24200
read,114,24826
read,115,25256
read,113,26479
write,107,41909
write,108,43336
write,110,43429
write,114,44151
write,112,44440
write,109,44894
write,116,45100
write,113,45716
write,111,46276
write,115,55916
open,113,52905
open,107,53128
open,110,53256
open,109,54564
open,106,54848
open,112,55127
open,108,55152
open,115,55310
open,111,55676
open,114,55688
close,112,57102
close,107,57245
close,109,57979
close,114,58242
close,111,59016
close,113,59698
close,108,60244
close,106,60575
close,110,61935
read,117,23661
read,123,23686
read,124,24262
read,116,24370
read,122,24512
read,119,24527
read,118,24690
read,120,24755
read,121,25412
write,120,41879
write,122,43924
write,118,44803
write,117,44857
write,124,45003
write,121,45796
write,119,45892
write,123,46228
write,125,47122
write,126,47970
open,117,53187
open,116,53567
open,118,53809
open,119,54136
open,120,54242
open,124,54878
open,123,55150
open,121,56390
open,122,56741
open,125,57923
close,123,55846
close,118,56733
close,115,56740
close,121,56929
close,117,57254
close,119,58015
close,116,58266
close,120,59162
close,122,60254
close,124,61686
read,134,22976
read,131,23080
read,133,23842
read,130,23922
read,125,24167
read,126,24943
read,129,30174
read,132,30885
read,128,33011
read,127,39167
write,134,44156
write,132,45000
write,133,45562
write,127,45749
write,131,48465
write,135,49775
write,130,57171
write,129,58387
write,128,64599
open,133,53702
open,131,54624
open,132,55265
open,126,55557
open,134,56325
open,130,59997
open,129,60302
open,128,61408
open,127,75807
close,131,54158
close,130,56440
close,133,57562
close,132,58465
close,125,60688
close,129,67035
close,128,67248
close,134,69786
close,127,76796
close,126,83875
read,141,22199
read,138,22386
read,143,22388
read,142,23211
read,139,23915
read,135,23938
read,140,23978
read,137,24144
read,144,24569
read,136,24845
write,140,40597
write,142,41965
write,139,42663
write,141,42765
write,143,42985
write,144,43034
write,136,43206
write,138,43228
write,145,43596
write,137,54225
open,141,51726
open,143,52437
open,139,53316
open,135,55237
open,144,55364
open,137,55560
open,140,55764
open,142,57928
open,138,66338
open,136,88380
